id	task_id	data_date	coa_cd	coa_name	item_name	item_value	created_at
5179	manual-test-001	2026-08-16 00:00:00	ROOT	资产负债账户册	avg_plan_balance	0.0	2026-08-16 09:54:19
5180	manual-test-001	2026-08-16 00:00:00	ROOT	资产负债账户册	avg_plan_average	0.0	2026-08-16 09:54:19
5181	manual-test-001	2026-08-16 00:00:00	ROOT	资产负债账户册	sum_plan_balance	0.0	2026-08-16 09:54:19
5182	manual-test-001	2026-08-16 00:00:00	1_1	现金及存放央行	avg_plan_balance	0.0	2026-08-16 09:54:19
5183	manual-test-001	2026-08-16 00:00:00	1_1	现金及存放央行	avg_plan_average	0.0	2026-08-16 09:54:19
5184	manual-test-001	2026-08-16 00:00:00	1_1	现金及存放央行	sum_plan_balance	0.0	2026-08-16 09:54:19
5185	manual-test-001	2026-08-16 00:00:00	1_1_1	现金_1D	avg_plan_balance	0.02	2026-08-16 09:54:19
5186	manual-test-001	2026-08-16 00:00:00	1_1_1	现金_1D	avg_plan_average	0.01	2026-08-16 09:54:19
5187	manual-test-001	2026-08-16 00:00:00	1_1_1	现金_1D	sum_plan_balance	0.39	2026-08-16 09:54:19
5188	manual-test-001	2026-08-16 00:00:00	1_1_2	存放央行法定准备金_30Y	avg_plan_balance	0.6	2026-08-16 09:54:19
5189	manual-test-001	2026-08-16 00:00:00	1_1_2	存放央行法定准备金_30Y	avg_plan_average	0.3	2026-08-16 09:54:19
5190	manual-test-001	2026-08-16 00:00:00	1_1_2	存放央行法定准备金_30Y	sum_plan_balance	14.51	2026-08-16 09:54:19
5191	manual-test-001	2026-08-16 00:00:00	1_1_3	存放央行超额准备金_1D	avg_plan_balance	0.21	2026-08-16 09:54:19
5192	manual-test-001	2026-08-16 00:00:00	1_1_3	存放央行超额准备金_1D	avg_plan_average	0.11	2026-08-16 09:54:19
5193	manual-test-001	2026-08-16 00:00:00	1_1_3	存放央行超额准备金_1D	sum_plan_balance	5.13	2026-08-16 09:54:19
5194	manual-test-001	2026-08-16 00:00:00	1_1_4	存放央行其他款项_30Y	avg_plan_balance	0.0	2026-08-16 09:54:19
5195	manual-test-001	2026-08-16 00:00:00	1_1_4	存放央行其他款项_30Y	avg_plan_average	0.0	2026-08-16 09:54:19
5196	manual-test-001	2026-08-16 00:00:00	1_1_4	存放央行其他款项_30Y	sum_plan_balance	0.02	2026-08-16 09:54:19
5197	manual-test-001	2026-08-16 00:00:00	1_2	同业资产	avg_plan_balance	0.0	2026-08-16 09:54:19
5198	manual-test-001	2026-08-16 00:00:00	1_2	同业资产	avg_plan_average	0.0	2026-08-16 09:54:19
5199	manual-test-001	2026-08-16 00:00:00	1_2	同业资产	sum_plan_balance	0.0	2026-08-16 09:54:19
5200	manual-test-001	2026-08-16 00:00:00	1_2_1	存放同业款项	avg_plan_balance	0.0	2026-08-16 09:54:19
5201	manual-test-001	2026-08-16 00:00:00	1_2_1	存放同业款项	avg_plan_average	0.0	2026-08-16 09:54:19
5202	manual-test-001	2026-08-16 00:00:00	1_2_1	存放同业款项	sum_plan_balance	0.0	2026-08-16 09:54:19
5203	manual-test-001	2026-08-16 00:00:00	1_2_1_1	存放同业款项_金融市场部	avg_plan_balance	0.0	2026-08-16 09:54:19
5204	manual-test-001	2026-08-16 00:00:00	1_2_1_1	存放同业款项_金融市场部	avg_plan_average	0.0	2026-08-16 09:54:19
5205	manual-test-001	2026-08-16 00:00:00	1_2_1_1	存放同业款项_金融市场部	sum_plan_balance	0.0	2026-08-16 09:54:19
5206	manual-test-001	2026-08-16 00:00:00	1_2_1_1_1	存放同业活期款项_金融市场部_1D	avg_plan_balance	0.0	2026-08-16 09:54:19
5207	manual-test-001	2026-08-16 00:00:00	1_2_1_1_1	存放同业活期款项_金融市场部_1D	avg_plan_average	0.0	2026-08-16 09:54:19
5208	manual-test-001	2026-08-16 00:00:00	1_2_1_1_1	存放同业活期款项_金融市场部_1D	sum_plan_balance	0.0	2026-08-16 09:54:19
5209	manual-test-001	2026-08-16 00:00:00	1_2_1_1_2	存放同业定期款项_金融市场部_1M	avg_plan_balance	0.0	2026-08-16 09:54:19
5210	manual-test-001	2026-08-16 00:00:00	1_2_1_1_2	存放同业定期款项_金融市场部_1M	avg_plan_average	0.0	2026-08-16 09:54:19
5211	manual-test-001	2026-08-16 00:00:00	1_2_1_1_2	存放同业定期款项_金融市场部_1M	sum_plan_balance	0.0	2026-08-16 09:54:19
5212	manual-test-001	2026-08-16 00:00:00	1_2_1_1_3	存放同业定期款项_金融市场部_3M	avg_plan_balance	0.0	2026-08-16 09:54:19
5213	manual-test-001	2026-08-16 00:00:00	1_2_1_1_3	存放同业定期款项_金融市场部_3M	avg_plan_average	0.0	2026-08-16 09:54:19
5214	manual-test-001	2026-08-16 00:00:00	1_2_1_1_3	存放同业定期款项_金融市场部_3M	sum_plan_balance	0.0	2026-08-16 09:54:19
5215	manual-test-001	2026-08-16 00:00:00	1_2_1_1_4	存放同业定期款项_金融市场部_6M	avg_plan_balance	0.0	2026-08-16 09:54:19
5216	manual-test-001	2026-08-16 00:00:00	1_2_1_1_4	存放同业定期款项_金融市场部_6M	avg_plan_average	0.0	2026-08-16 09:54:19
5217	manual-test-001	2026-08-16 00:00:00	1_2_1_1_4	存放同业定期款项_金融市场部_6M	sum_plan_balance	0.0	2026-08-16 09:54:19
5218	manual-test-001	2026-08-16 00:00:00	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	avg_plan_balance	0.0	2026-08-16 09:54:19
5219	manual-test-001	2026-08-16 00:00:00	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	avg_plan_average	0.0	2026-08-16 09:54:19
5220	manual-test-001	2026-08-16 00:00:00	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	sum_plan_balance	0.0	2026-08-16 09:54:19
5221	manual-test-001	2026-08-16 00:00:00	1_2_1_2	存放同业款项_公司金融部	avg_plan_balance	0.0	2026-08-16 09:54:19
5222	manual-test-001	2026-08-16 00:00:00	1_2_1_2	存放同业款项_公司金融部	avg_plan_average	0.0	2026-08-16 09:54:19
5223	manual-test-001	2026-08-16 00:00:00	1_2_1_2	存放同业款项_公司金融部	sum_plan_balance	0.0	2026-08-16 09:54:19
5224	manual-test-001	2026-08-16 00:00:00	1_2_1_2_1	存放同业活期款项_公司金融部_1D	avg_plan_balance	0.0	2026-08-16 09:54:19
5225	manual-test-001	2026-08-16 00:00:00	1_2_1_2_1	存放同业活期款项_公司金融部_1D	avg_plan_average	0.0	2026-08-16 09:54:19
5226	manual-test-001	2026-08-16 00:00:00	1_2_1_2_1	存放同业活期款项_公司金融部_1D	sum_plan_balance	0.0	2026-08-16 09:54:19
5227	manual-test-001	2026-08-16 00:00:00	1_2_1_2_2	存放同业定期款项_公司金融部_1M	avg_plan_balance	0.0	2026-08-16 09:54:19
5228	manual-test-001	2026-08-16 00:00:00	1_2_1_2_2	存放同业定期款项_公司金融部_1M	avg_plan_average	0.0	2026-08-16 09:54:19
5229	manual-test-001	2026-08-16 00:00:00	1_2_1_2_2	存放同业定期款项_公司金融部_1M	sum_plan_balance	0.0	2026-08-16 09:54:19
